epoch,epoch_time_sec,train_loss,val_loss,val_cider
0,166.880130,2.940599,2.279358,1.038703
1,165.386860,2.282574,2.098626,1.096418
2,164.591884,2.116089,2.014859,1.144179
3,165.298479,2.013844,1.965243,1.154934
4,165.813226,1.939235,1.937262,1.166259
5,166.867342,1.874812,1.921163,1.176998
6,163.869307,1.820749,1.908326,1.184135
7,165.666517,1.771233,1.903072,1.181669
8,165.554544,1.725562,1.902567,1.186522
9,165.758328,1.684913,1.909060,1.182649
10,166.951578,1.644329,1.911844,1.179895
11,166.538871,1.607604,1.917387,1.181290
12,162.972643,1.573622,1.923181,1.186754
13,164.289963,1.541384,1.932288,1.183102
14,163.926696,1.511057,1.941693,1.182352
15,164.118631,1.482306,1.949667,1.180432
16,163.755485,1.456173,1.965036,1.178202
17,165.694432,1.430122,1.975107,1.174748
18,164.369869,1.407605,1.981438,1.178467
19,169.189475,1.384197,1.993848,1.173571
20,165.701184,1.364273,2.007191,1.173446
21,164.062298,1.313108,2.017698,1.167806
22,166.601957,1.287599,2.035681,1.166842
23,166.031513,1.268631,2.044675,1.162037
24,165.879619,1.250850,2.052925,1.160038
25,166.018511,1.235808,2.068698,1.161950
26,166.181913,1.219812,2.074675,1.161405
27,165.619752,1.207267,2.083168,1.158147
28,163.954670,1.196116,2.097465,1.159558
29,167.183143,1.156743,2.115069,1.154311
30,164.577152,1.136328,2.123844,1.155374
31,164.956822,1.124013,2.134237,1.154833
32,165.481589,1.112178,2.145663,1.153546
